resp_id,worker_pre,att_covid_selfsevere,age,weight_main
0,yes,Somewhat agree,26,0
1,yes,Strongly agree,76,0
2,yes,Neutral,22,0
3,yes,Somewhat disagree,31,0
4,yes,Somewhat disagree,22,0
5,no,Strongly agree,63,0
6,no,Somewhat disagree,37,0
7,yes,Somewhat disagree,35,0
8,yes,Strongly agree,51,0
9,no,Strongly disagree,30,0
10,yes,Somewhat agree,63,0
11,yes,Strongly disagree,44,0
13,yes,Somewhat agree,62,0
14,yes,Neutral,71,0
16,yes,Neutral,28,0
18,yes,Somewhat agree,63,0
20,yes,Strongly agree,57,0
21,yes,Somewhat agree,61,0
22,yes,Neutral,71,0
23,yes,Somewhat agree,57,0
24,yes,Somewhat disagree,37,0
25,yes,Somewhat disagree,40,0
26,yes,Somewhat agree,29,0
28,yes,Strongly agree,39,0
29,yes,Somewhat disagree,39,0
30,yes,Somewhat disagree,49,0
31,yes,Neutral,27,0
32,yes,Somewhat agree,51,0
33,yes,Strongly disagree,40,0
34,yes,Somewhat agree,32,0
35,yes,Somewhat agree,39,0
36,no,Somewhat agree,55,0
37,no,Somewhat agree,61,0
38,yes,Somewhat agree,39,0
39,yes,Strongly disagree,24,0
41,no,Strongly agree,30,0
42,no,Somewhat agree,69,0
43,no,Somewhat agree,24,0
44,yes,Somewhat disagree,49,0
45,no,Somewhat agree,28,0
46,yes,Somewhat agree,63,0
47,no,Neutral,32,0
48,yes,Somewhat disagree,32,0
49,yes,Somewhat agree,56,0
50,yes,Somewhat agree,25,0
51,yes,Somewhat agree,62,0
52,yes,Strongly disagree,30,0
54,no,Somewhat agree,29,0
55,yes,Strongly disagree,52,0
56,yes,Somewhat agree,42,0
57,yes,Neutral,44,0
58,yes,Somewhat agree,53,0
59,yes,Strongly agree,37,0
61,yes,Strongly disagree,56,0
62,yes,Strongly agree,50,0
63,yes,Strongly agree,46,0
64,yes,Strongly agree,35,0
65,yes,Somewhat agree,51,0
66,yes,Strongly agree,59,0
67,yes,Somewhat agree,50,0
68,no,Somewhat agree,76,0
69,yes,Somewhat agree,51,0
70,yes,Somewhat agree,36,0
71,yes,Somewhat agree,57,0
72,yes,Somewhat agree,62,0
73,yes,Strongly agree,35,0
74,yes,Strongly disagree,30,0
75,yes,Somewhat disagree,40,0
76,yes,Strongly agree,47,0
77,yes,Somewhat disagree,21,0
78,yes,Somewhat disagree,62,0
79,yes,Somewhat agree,41,0
80,yes,Seen but unanswered,35,0
81,yes,Neutral,32,0
82,no,Strongly agree,80,0
83,yes,Strongly agree,49,0
84,yes,Somewhat disagree,51,0
85,yes,Somewhat agree,54,0
86,yes,Neutral,39,0
87,yes,Strongly disagree,28,0
88,yes,Strongly agree,43,0
89,yes,Somewhat agree,37,0
90,no,Somewhat agree,68,0
91,yes,Somewhat agree,70,0
92,yes,Strongly agree,58,0
93,no,Strongly agree,71,0
94,yes,Neutral,63,0
95,yes,Somewhat agree,53,0
96,yes,Somewhat agree,43,0
97,yes,Somewhat agree,66,0
98,yes,Somewhat agree,65,0
99,no,Strongly disagree,64,0
100,yes,Neutral,29,0
101,yes,Somewhat agree,43,0
102,yes,Somewhat disagree,35,0
103,yes,Neutral,59,0
104,yes,Somewhat agree,41,0
105,yes,Somewhat disagree,34,0
106,yes,Somewhat agree,49,0
107,yes,Somewhat agree,31,0
108,yes,Somewhat agree,57,0
109,yes,Somewhat agree,54,0
111,yes,Neutral,58,0
112,yes,Neutral,38,0
113,yes,Somewhat agree,72,0
114,yes,Strongly disagree,32,0
115,yes,Neutral,30,0
116,yes,Neutral,49,0
117,yes,Neutral,54,0
118,no,Strongly disagree,62,0
119,yes,Somewhat disagree,50,0
120,yes,Somewhat agree,40,0
121,yes,Somewhat agree,25,0
122,yes,Somewhat disagree,52,0
123,yes,Strongly agree,50,0
124,yes,Somewhat agree,55,0
125,yes,Somewhat disagree,31,0
126,yes,Somewhat disagree,62,0
127,yes,Strongly agree,61,0
128,yes,Neutral,32,0
129,yes,Somewhat agree,56,0
130,yes,Somewhat agree,35,0
131,yes,Strongly agree,39,0
132,yes,Somewhat agree,62,0
133,yes,Somewhat agree,51,0
134,yes,Somewhat disagree,52,0
135,no,Somewhat disagree,25,0
136,yes,Somewhat agree,48,0
137,yes,Strongly disagree,32,0
138,yes,Somewhat agree,60,0
139,yes,Neutral,60,0
140,yes,Somewhat agree,38,0
141,yes,Somewhat agree,32,0
143,yes,Strongly agree,65,0
144,yes,Neutral,39,0
145,yes,Somewhat disagree,31,0
146,yes,Somewhat agree,27,0
147,yes,Neutral,36,0
148,yes,Somewhat agree,48,0
149,yes,Strongly agree,50,0
150,yes,Somewhat disagree,55,0
151,yes,Strongly agree,59,0
152,yes,Somewhat agree,36,0
153,yes,Somewhat agree,38,0
155,no,Somewhat disagree,23,0
156,yes,Somewhat agree,46,0
157,yes,Somewhat agree,49,0
158,yes,Strongly agree,68,0
159,yes,Neutral,26,0
160,yes,Somewhat disagree,48,0
161,yes,Somewhat agree,45,0
162,no,Neutral,38,0
163,yes,Somewhat disagree,66,0
164,yes,Somewhat agree,58,0
165,yes,Strongly disagree,57,0
166,yes,Somewhat agree,27,0
167,yes,Strongly agree,43,0
168,no,Strongly agree,64,0
169,yes,Strongly disagree,37,0
171,yes,Somewhat agree,45,0
172,yes,Somewhat agree,51,0
173,yes,Somewhat disagree,32,0
174,yes,Somewhat agree,37,0
175,no,Somewhat disagree,73,0
176,yes,Somewhat agree,52,0
177,yes,Neutral,39,0
178,yes,Strongly agree,60,0
179,yes,Somewhat agree,53,0
180,yes,Neutral,51,0
